title,description
The Hobbit,An epic fantasy quest featuring a hobbit dwarves magic rings and a dragon.
Harry Potter,A young wizard discovers his magical heritage and attends a fantasy school.
Dune,A sci-fi space opera dealing with planetary politics desert empires and spice.
A Game of Thrones,A dark medieval fantasy filled with political intrigue knights and kings.
Neuromancer,A cyberpunk sci-fi classic about data hackers and artificial intelligence.
The Fellowship of the Ring,The epic fantasy continuation of the hobbit featuring dwarves elves and magic rings.
Foundation,A grand sci-fi space opera about galactic empires mathematics and the future of humanity.
Sherlock Holmes,A classic mystery detective story tracking down complex crimes using logic.
The Da Vinci Code,A fast-paced thriller involving secret societies religious history and mystery symbols.
1848,A bleak dystopian fiction about government surveillance control censorship and state power.
The Silent Patient,A psychological thriller mystery about an artist who shoots her husband and goes silent.
Atomic Habits,A self-help book focused on productivity building small routines and personal growth.
Deep Work,A self-help productivity guide about maintaining focus in a world full of distractions.
Murder on the Orient Express,A famous detective mystery where a brilliant investigator solves a train crime.